           0.      22.17524         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       677.341         INDEF       772.034         INDEF     -4.481735         INDEF         INDEF            0.      17.73202         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      17.10247         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
     2.666707      10.22376    0.06339999      0.499212     0.3529962     0.1592838    0.01940623     -53.33924      3.739974       677.341    0.02901172       772.034    0.02750887     -2.312805     0.3349428      0.144821      1.277891      18.57267   0.006754095   0.006711958      281.1169      281.1169      14.97448      14.97448          21          21    0.02469805   0.007294925   -0.04096718   0.008760286   -0.01266474   0.005344107    0.01659081   0.005628309          31           0          15           0   1.353864E-5            2.       1.83384      40.96836      10.88895      321.7588      17.94311      17.87467      14.96961      14.82301   0.003922159    0.09435815      2.000031   0.001092773    0.00105414   0.001285148    0.00119509
     5.333374      6.953025    0.04391504     0.3457874     0.2445086     0.2546642    0.01479783     -55.09748      1.881208       677.341    0.04879635       772.034    0.04400413     -0.529548     0.1056171     0.1994476      1.519674      18.99126   0.006879214   0.006835978      631.3058      790.1392      14.09609      13.85243          65          89    0.02517074   0.007606806   -0.03122796   0.008506376   0.003129477   0.005670722  -0.003946912   0.005769027          31           0          15           0   4.682726E-6            2.       3.45334      77.14834      7.031883      680.9249       18.3617      18.34946      14.09123      14.00908   0.003607364     0.2389552      4.000031   0.001051725   0.001044123   9.190605E-4   8.784512E-4
     8.000041      5.906507    0.02648173     0.2085174      0.147444      0.225038    0.01455928     -47.31377      2.059591       677.341    0.06758381       772.034    0.06616751    -0.2554559    0.04892853     0.1915342      1.681795      19.16837   0.004879558   0.004856232      1224.551      1441.023      13.37675      13.20002         159         197   0.009632392   0.008931314  -5.459979E-5   0.008859002    0.02070353   0.008687371   0.006006001   0.007921573          31           0          15           0   8.123646E-7            2.      5.281942      117.9997      5.789006      1272.052      18.53881      18.56063      13.37189      13.33057   0.003476189     0.5422669      6.000031   0.001011298   0.001025648   7.623463E-4   7.423934E-4
     10.66671      5.313621    0.02941934     0.2316481        0.1638      0.227473    0.02397279     -34.03986      3.359554       677.341     0.1396421       772.034     0.1542365    -0.1937509    0.04044722     0.2087589      1.807206      19.28322    0.00602821   0.005994499      1840.255      2287.918       12.9345      12.69809         269         357  -0.007704936    0.01338588    0.03338565    0.01516791    0.04347512    0.01354997   -0.01522114    0.01068542          31           0          15           0   3.690320E-6            2.      7.031508      157.0853      5.126211       1867.38      18.65366      18.69265      12.92964      12.91375    0.00341281     0.8961725      8.000031   0.001004032   0.001031208   7.152696E-4   7.072295E-4
     13.33337      4.979968    0.03625647     0.3354163     0.2018675     0.3041683    0.02778992     -37.71891      3.044223       677.341     0.2177624       772.034       0.23843    -0.1652865    0.04388255     0.2654939      1.910887      19.35363   0.007934039   0.007875497      2429.611      3207.505      12.63285      12.33127         383         553   0.006397302    0.01867717    0.01906145    0.01952317    0.05280389    0.01961792    0.04059653    0.01760109          31           0          15           0   4.045031E-6      2.760804       8.34168      186.3549      4.755642      2433.444      18.72407      18.77411      12.62799      12.62628   0.003382342      1.262724      10.00003   0.001003433    0.00103984   7.030212E-4   7.021106E-4
     16.00004       4.73832    0.03955188     0.3967926     0.2237392        0.3751    0.02739477      -43.7304      2.615512       677.341     0.2908308       772.034     0.2963479    -0.1303404    0.03851219     0.2954739      2.000001      19.40763   0.009100063   0.009026085      3023.568      4258.481      12.39539      12.02356         505         797    0.04305396    0.02303861    0.02756609    0.02063513    0.06350181    0.02346287    0.02908243    0.01637717          32           0          15           0   0.002127709      3.145161      9.486099      211.9215      4.491262      3000.292      18.77808      18.83622      12.39053      12.39892   0.003362468      1.654917      12.00003   0.001011086   0.001054997   7.032031E-4   7.078794E-4
     18.66671      4.563216     0.0414287     0.4506103     0.2379898     0.4305027     0.0279808      -46.7732      2.458027       677.341     0.3812058       772.034     0.3701296   -0.09482405    0.03417902     0.3604467      2.078581      19.44851   0.009902693    0.00981223      3581.007      5444.517      12.21168      11.75679         625        1093    0.05231795    0.02932997   0.005961172    0.02203938    0.06449245    0.02966227    0.02432186    0.02017841          33           0         100           2    0.04242096       3.58497      10.56513      236.0272      4.304004      3527.135      18.81896      18.88246      12.20682      12.22328   0.003347596      2.040643      14.00003   0.001014766   0.001064104   7.087140E-4   7.182516E-4
     21.33337      4.451539    0.04215179     0.4837465     0.2457851     0.4704721    0.02409721     -51.54986      2.014032       677.341     0.4129941       772.034     0.3674208   -0.08483342    0.03132423      0.369244      2.149141      19.47542    0.01032949    0.01023294      4177.065      6685.241      12.04451       11.5339         757        1433    0.03602602    0.02496809   -0.03172008    0.02368754    0.05574929    0.02757907   0.005610498    0.01832271          34           0         100           2      0.130025      3.873688      11.64301      260.1074      4.182773      4087.978      18.84586      18.91348      12.03965      12.06306   0.003335444      2.464921      16.00003   0.001015661   0.001069181   7.161176E-4   7.301669E-4
     24.00004      4.469384    0.04088501     0.4725585      0.241879     0.5496913    0.02007117     -51.54986      1.550874       677.341     0.4455009       772.034     0.3879324   -0.08183406    0.02502499     0.3058017      2.213365      19.47107   0.009978574   0.009886148      4435.465      7881.575      11.97935      11.35516         813        1793    0.04375279    0.02480689   -0.02912991     0.0218453     0.0203061    0.02097784     0.0188246    0.02038963          35           0         100           2    0.02917884      3.816936      12.07893      269.8459      4.195776      4330.698      18.84152      18.91011      11.97448      12.00044   0.003331134      2.644914      18.00003   0.001004416   0.001058379   7.180684E-4   7.338155E-4
     26.66671      4.396317    0.03395562     0.3850726     0.2037337     0.5864434    0.01368023     -54.03878      1.036317       677.341     0.3723127       772.034     0.3040327   -0.07746994    0.01847312     0.2384553      2.272439      19.48897   0.008419123   0.008352883       4923.67      9190.169      11.86597      11.18838         923        2233     0.0278714    0.01731787   -0.02441234    0.01614099    0.01293364    0.01586137    0.00669503    0.01512039          36           0          15           0   0.009902653      3.572395      12.86169      287.3329      4.117004      4788.619      18.85942      18.93069      11.86111      11.89131   0.003324117      2.998465      20.00003   0.001006649   0.001063464   7.240170E-4   7.427419E-4
