           0.      22.17524         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       677.341         INDEF       772.034         INDEF      -2.04232         INDEF         INDEF            0.      17.73202         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF      17.10247         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
           8.      5.836676    0.03416695     0.5889301     0.1902335     0.2145375    0.02759784     -42.47739      4.071055       677.341     0.1243165       772.034     0.1270792    -0.2575368    0.05530663     0.2147524      1.681793      19.18128   0.006375285   0.006336255      1224.516      1441.023      13.37678      13.20002         159         197    0.00567737    0.01663142   0.008325761    0.01690982    0.01699305    0.01647466   -0.01392223    0.01656211          31           0          15           0     0.0076863      9.584146      5.317579      356.3876      5.718373       1271.29      18.55172      18.57396      13.37192      13.33122   0.003303048     0.5422669            6.   7.633361E-4   7.763465E-4   7.621543E-4   7.424976E-4
          16.      4.745458    0.03799695     0.8258858      0.211558     0.3828244    0.02769823      -44.7988      2.527631       677.341      0.296695       772.034     0.2976537    -0.1198411    0.03585156     0.2991591            2.        19.406     0.0087279   0.008659399      2975.564      4258.481      12.41277      12.02356         495         797    0.03998151    0.02319947   0.007771699    0.02029237      0.060199     0.0241456    0.01364773    0.01682004          31           0          15           0   0.002293113      15.23986      9.427263      631.8213      4.500536      2953.956      18.77644      18.83398      12.40791      12.41582   0.003264482      1.622772           12.   8.367396E-4   8.776436E-4   7.029689E-4   7.073648E-4
          24.      4.468462    0.03620441     0.8176738     0.2079785     0.5489609    0.01607395     -52.91915      1.203295       677.341     0.3612299       772.034     0.3031755   -0.08517087    0.02164265     0.2541085      2.213364       19.4713   0.008832325   0.008761747      4443.479      7881.575      11.97739      11.35516         815        1793      0.032043    0.01802427   -0.02732336    0.01704455    0.02236469    0.01649464   0.001230442    0.01510886          33           0          15           0   0.004346161      15.45693       12.0887      810.1924      4.194697        4338.3      18.84174      18.91039      11.97252      11.99853   0.003253412      2.651342           18.   8.621473E-4   9.139299E-4   7.183538E-4   7.341445E-4
          32.      4.155965    0.03014395     0.7312515      0.178334     0.6194349   0.009472555     -57.53634     0.6843672       677.341     0.3445157       772.034     0.2535234   -0.06120309     0.0139404     0.2277727      2.378414      19.55001   0.007904465   0.007845774      6190.266      11577.79      11.61742      10.93763        1221        3209   -0.00499492    0.01273767  -0.008629244    0.01222437  -0.002139222    0.01203908   -0.01917611    0.01249927          35           0          15           0    0.00852204      16.81377      14.80559      992.2805      3.870294      5970.698      18.92046      18.99778      11.61256      11.65177   0.003246196      3.956248           24.   9.071014E-4   9.698378E-4   7.420946E-4   7.676704E-4
          40.      4.001423    0.03350259     0.8475934     0.2065238     0.6752356     0.0131835     -60.49213     0.9655938       677.341     0.7136588       772.034     0.4764509   -0.03674835    0.01380628     0.3756979      2.514867      19.59116   0.009129551   0.009051885       7863.08      15011.44      11.35771      10.65564        1635        5025   -0.06123883    0.02984972   -0.02105557    0.01898811   -0.03552866    0.02191346   -0.01680785    0.01750624          38           0          18           0    0.02702064       16.8436      17.09643      1145.814      3.709661      7525.121       18.9616       19.0438      11.35285      11.40055   0.003241887      5.286833           30.   9.311206E-4   0.001000415   7.664007E-4   7.992254E-4
          48.       3.93366    0.04058888      1.004857     0.2534775      0.725161   0.008766713     -61.98048     0.6316597       677.341     0.6762888       772.034     0.4172015   -0.05488122    0.01173135     0.2137589      2.632148       19.6097    0.01126102    0.01114577      9307.701      18143.06      11.17459      10.44992        1995        7213   -0.05243937     0.0187569   -0.01214215    0.01374059   -0.03080284    0.01494885   -0.01671537    0.01302385          39           0          15           0   0.001295034      15.71557      18.87303      1264.883      3.637413      8863.436      18.98015      19.06516      11.16973      11.22283   0.003239262      6.443852           36.   9.412013E-4   0.001014115   7.816660E-4   8.193720E-4
          56.      3.234132    0.04079765      1.201936      0.270621     0.6906051   0.009184072     -61.76997     0.7115118       677.341     0.7301219       772.034     0.4794568   -0.06533287   0.009950371     0.1523027      2.735565       19.8223    0.01378409    0.01360991      13084.17      20933.13      10.80483      10.29461        3043        9845    0.03861215    0.01488772   -0.04638597    0.01395485   -0.01955309     0.0125198      0.025919      0.011992          44           0          15           0   0.003193931      19.72603      23.36178      1565.721      2.965787      12340.08      19.19274      19.28679      10.79997      10.86354   0.003234403      9.812041           42.   0.001124075   0.001222382   8.340787E-4   8.831894E-4
          64.      2.781556    0.04502374      1.383374     0.3086672     0.6994159   0.008754377     -60.39651     0.6928391       677.341     0.8068395       772.034     0.5505392   -0.06195549   0.008817808     0.1423249      2.828427      19.98597    0.01771836    0.01743327      15576.31      23309.59      10.61553      10.17786        3869       12782    0.04954055    0.01675216  -0.006918301    0.01324966   -0.02035612    0.01435529    0.01690815    0.01328359          47           0          15           0   0.001939184       20.0862      26.31626      1763.733      2.539337      14621.05      19.35642      19.45534      10.61067      10.67939   0.003232107      12.46673           48.   0.001295601   0.001415988   8.846639E-4   9.414492E-4
          72.      2.353918    0.04659483      1.493996     0.3261638     0.7077609    0.00625429     -59.35056     0.4955392       677.341      0.657727       772.034     0.4598949   -0.06780189   0.007572039     0.1116789      2.912951      20.16722    0.02170683    0.02128222      17848.82      25277.43      10.46767      10.08986        4751       16073    0.02453292    0.01213512   0.008090002     0.0103934  -0.003701766    0.01129922   0.006661908    0.01066526          49           0          15           0   0.001209589      20.98106      29.19194      1956.463      2.140465      16691.27      19.53766      19.64087      10.46281      10.53561   0.003230318      15.30139           54.   0.001520773   0.001669394   9.435816E-4   0.001008139
          80.      1.828149    0.04016909       1.36631     0.2896634     0.7079127   0.005290757     -59.16407      0.424866       677.341     0.6152505       772.034     0.4359838   -0.04897401   0.005833485     0.1191139      2.990698      20.44166    0.02412253    0.02359795      20181.62      26953.37       10.3343      10.02016        5877       19880  -0.001110356    0.01059564   0.001984532   0.009292288   0.001693894   0.009989486    0.01194082   0.009569637          52           0          15           0   0.002021246      22.24904      32.42706      2173.283      1.653213      18807.29      19.81211      19.92132      10.32944      10.40602   0.003228683      18.92024           60.   0.001945556   0.002148491   0.001028251   0.001102636
