           0.      13.19273         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       352.531         INDEF       332.066         INDEF      -2.59825         INDEF         INDEF            0.      18.29586         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       17.6681         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
     2.666707      6.263957    0.05102051     0.4017359     0.2840702     0.1397386    0.03079504     -61.04091      6.693854       352.531    0.04613464       332.066    0.04230221     -1.350339     0.2724145     0.2017378      1.277891      19.10457   0.008880463   0.008806812      173.4001      173.4001      15.49907      15.49907          21          21     0.0136735    0.01283091   -0.06016264    0.01756944    0.01601033    0.01253322  -0.005926722    0.01233727          31           0          15           0   6.167752E-6            2.      1.855034      41.44186      7.044571      211.9531      18.47682       18.3493      15.49601      15.27803   0.008556257      0.202611      2.000031    0.00202011    0.00184725   0.002087508   0.001823798
     5.333374      4.291889    0.02877207     0.2265515     0.1601961     0.2288529    0.01721744     -51.80249      2.400177       352.531    0.05452754       332.066    0.05120327    -0.3310402    0.07157658     0.2162172      1.519674      19.51507   0.007303082   0.007254209       399.558       489.988      14.59274      14.37123          67          89    0.03235196      0.010093   -0.02539826   0.009195792   0.003586498   0.006664706   -0.01579864   0.007531226          31           0          15           0   7.771528E-7            2.      3.512626       78.4728      4.536361      455.2991      18.88732      18.82717      14.58968      14.44789   0.007973298     0.5419139      4.000031   0.002342158   0.002232233    0.00183079   0.001645831
     8.000041      3.693314    0.01929017     0.1518909     0.1074031     0.2437372    0.01980346     -49.24757      2.614061       352.531    0.09432059       332.066    0.09042884    -0.1521866    0.03431878     0.2255047      1.681795      19.67815   0.005686163    0.00565556      729.1353      893.2539      13.93967      13.71926         151         197    -0.0118433   0.009884119    0.04132367    0.01341312    0.01835627   0.009659032  -0.008312938   0.009045481          31           0          15           0   8.204593E-7            2.      5.217829      116.5674      3.776813      797.3752       19.0504      19.02613      13.93661      13.83948   0.007749148       1.15388      6.000031   0.002511834   0.002461243   0.001900779   0.001752962
     10.66671      3.333614    0.01921342     0.1553301     0.1069758     0.2307523    0.02686317     -29.94971       3.71799       352.531     0.1537338       332.066      0.176115    -0.1282945    0.02642582     0.2059778      1.807206       19.7894   0.006276524   0.006238994      1156.482      1422.647      13.43885      13.21395         273         357   -0.02404046     0.0152799    0.03634949     0.0164562    0.04191308    0.01475285  -0.009589039    0.01229007          31           0          15           0   1.506533E-5      2.108337      7.016568      156.7516      3.337325      1229.185      19.16165      19.16044      13.43579      13.36959   0.007628122      2.040927      8.000031   0.002664293   0.002661525   0.002021079   0.001907596
     13.33337       3.11064    0.02323836     0.2213643     0.1293857     0.2964301    0.03197205       -37.239      3.577453       352.531     0.2482217       332.066     0.2726672    -0.1007681    0.02701434     0.2680842      1.910887      19.86457    0.00814159   0.008080966      1528.522      1999.387      13.13601      12.84445         389         553   0.005194575    0.02148163    0.01277527     0.0219998    0.05366583    0.02331746    0.02364614    0.01965668          31           0          15           0   0.004535038      2.927134      8.387934      187.3882      3.078019      1598.913      19.23682      19.24826      13.13295      13.08407   0.007570047      2.883985      10.00003   0.002794929   0.002822968    0.00212396   0.002033724
     16.00004      2.972049    0.02316302     0.2325615     0.1310298     0.3748607    0.02670481     -43.96535      2.550885       352.531     0.2839316       332.066     0.2883105   -0.08392714    0.02292916     0.2732032      2.000001      19.91405   0.008495322   0.008428697      1886.726      2664.747      12.90742      12.53255         507         797    0.02849596    0.02165807   0.003675363    0.01997449    0.05672179    0.02309065   0.009530362    0.01714034          32           0          15           0   9.273466E-4       3.15018      9.487915      211.9621      2.917104      1953.208       19.2863      19.30656      12.90436      12.86676   0.007535387      3.741467      12.00003   0.002887074    0.00293897   0.002210956   0.002137652
     18.66671      2.872079    0.02533017     0.2689865     0.1455108     0.4334446    0.03301021     -47.20038      2.885976       352.531     0.4530958       332.066     0.4366868   -0.05306534    0.02208975     0.4162745      2.078581       19.9512    0.00961777   0.009533851      2205.917      3416.574      12.73772      12.26272         617        1093    0.05663206    0.03583237   -0.01303513    0.02689507    0.06023107     0.0348784    0.01808234    0.02506481          33           0          15           0   0.006278111      3.417202      10.53781      235.4168      2.805201      2264.478      19.32345      19.34903      12.73466      12.70621   0.007508948      4.540768      14.00003   0.002964459   0.003032182   0.002282945   0.002225139
     21.33337      2.815829    0.02849119     0.3282659     0.1661308     0.4765612    0.03547855     -51.94252      2.943169       352.531     0.6161725       332.066     0.5433068   -0.04430241    0.02221224     0.5013778      2.149141      19.97268    0.01104171    0.01093053       2584.62      4208.542       12.5657      12.03636         751        1433    0.01484778    0.03398357   -0.03994678    0.03795745    0.06341917    0.04397753    0.02791245    0.03316628          34           0         100           2    0.04882489      3.904374      11.57587      258.6075       2.73808      2634.198      19.34492      19.37533      12.56264      12.54201   0.007487453      5.514431      16.00003   0.002997909    0.00307993   0.002356149   0.002312547
     24.00004      2.826823    0.02905615     0.3277429     0.1718985     0.5525618    0.02465283     -51.94252      1.899655       352.531     0.5522986       332.066     0.4765168   -0.05205812    0.01747042     0.3355946      2.213365      19.96845    0.01121729    0.01110341      2740.163      4972.927      12.50225      11.85516         805        1793    0.03652946    0.02904979   -0.04449404    0.02922806    0.01643563    0.02602289    0.02603961    0.02629219          35           0          15           0   0.008526897      3.635151      12.04037      268.9844      2.746504      2784.593      19.34069      19.37199      12.49919      12.48173   0.007479018      5.906796      18.00003   0.002981488   0.003065535     0.0023775   0.002340154
     26.66671      2.753283    0.02391587     0.2813364     0.1434952     0.5767911    0.01611221     -54.32803      1.230343       352.531     0.4303367       332.066     0.3507272   -0.05128966     0.0130463     0.2543651      2.272439      19.99707   0.009471788   0.009390691      3125.215      5804.584      12.35949      11.68727         943        2233   0.005324871    0.01914828   -0.02861302    0.01945613   0.005624986    0.01872282    0.01220966    0.01839177          36           0          15           0   0.003628314      3.843942      13.01092      290.6668      2.664881      3158.245      19.36931      19.40475      12.35643      12.34502   0.007463312      6.909498      20.00003   0.003044196   0.003141864   0.002432089   0.002406983
     29.33337      2.676486    0.02512454     0.2989191     0.1528266     0.5964889    0.01555394     -56.34932      1.179558       352.531      0.484736       332.066     0.3756585   -0.04400646    0.01241088      0.282024      2.327236      20.02778    0.01024006    0.01014445      3537.791      6589.613      12.22486      11.54954        1095        2709   8.411579E-4    0.01994766   -0.01945045    0.01954419   0.008096214    0.01968003  -3.328219E-4    0.01900705          37           0          15           0   0.004937237      3.825686      13.97497      312.2039      2.581348      3557.606      19.40003      19.43932       12.2218      12.21574   0.007449845       8.01391      22.00003   0.003115007   0.003226421   0.002486771   0.002473072
     32.00004      2.580543    0.02635509     0.3219797     0.1645875     0.6009955    0.01902918      -58.7462       1.48125       352.531     0.6659938       332.066     0.4938036   -0.03435496     0.0109703     0.3193223      2.378415      20.06742    0.01114565    0.01103232      4036.887      7319.137      12.08158      11.43554        1285        3209   -0.02679239    0.02640013   -0.02288267    0.02414037    0.01509536    0.02463349   -0.01674676    0.02374675          39           0         100           2   0.005558466      3.827042      15.16005      338.6787      2.480005      4037.778      19.43966      19.48281      12.07852      12.07828   0.007435611      9.394415      24.00003   0.003213732   0.003340584   0.002550038    0.00254948
