           0.      13.19273         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       352.531         INDEF       332.066         INDEF     -1.191882         INDEF         INDEF            0.      18.29586         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF           1           0       INDEF       INDEF         INDEF         INDEF         INDEF         INDEF         INDEF         INDEF       17.6681         INDEF         INDEF         INDEF         INDEF         INDEF            0.         INDEF         INDEF         INDEF         INDEF
           8.      3.657677    0.02473807     0.4291565     0.1377357     0.2197912    0.03327034     -43.31027      4.804651       352.531     0.1510282       332.066     0.1533264    -0.1643786    0.03868764      0.235357      1.681793      19.68868   0.007368932   0.007317673      766.1968      893.2539      13.88584      13.71926         161         197   4.240711E-5    0.01794467    0.05046131     0.0217253    0.02166885    0.01789364   -0.01790505    0.01789454          31           0         100           2    0.02155935      9.708187      5.299766      355.1937      3.728139      836.6034      19.06093      19.04021      13.88278      13.78733   0.007427794      1.226623            6.   0.002286922   0.002245228    0.00191022   0.001763272
          16.      2.945168    0.02436679     0.5375242     0.1356685     0.3651662    0.03099117     -43.31027      2.932866       352.531     0.3215606       332.066     0.3299496   -0.06855994    0.02335211     0.3406086            2.      19.92392   0.009020375   0.008945719      1904.926      2664.747        12.897      12.53255         513         797    0.02493139    0.02422063  -0.005530383    0.02308001    0.06453285    0.02890207    0.01917793    0.02012841          31           0          15           0    0.01790507      15.69776      9.561175      640.7961        2.8889      1970.805      19.29617      19.31711      12.89394      12.85702   0.007355968      3.785066           12.    0.00275802   0.002810841   0.002214684   0.002142551
          24.      2.796276    0.02499317     0.5696743     0.1435748     0.5409238    0.02030087     -52.96239       1.53299       352.531     0.4492216       332.066     0.3777955    -0.0506715    0.01526464     0.3012471      2.213364      19.98024   0.009747103   0.009662083      2806.299      4972.927      12.47636      11.85516         829        1793     0.0237966    0.02148163   -0.04167288    0.02329551    0.01814243    0.02042989    0.01507632    0.01975893          33           0          15           0   0.001264585      15.74333      12.19593      817.3789      2.713993      2849.126      19.35249      19.38492       12.4733      12.45685    0.00733655       6.08118           18.   0.002885079   0.002971446   0.002388748    0.00235338
          32.      2.604394    0.02383207     0.5845559     0.1409924     0.6110279    0.01477024     -58.31523      1.072747       352.531     0.5293655       332.066     0.3843048   -0.03579699    0.01062151     0.2967152      2.378414      20.05743   0.009980894     0.0098902      3948.293      7319.137      12.10567      11.43554        1251        3209   -0.02259012    0.01992128    -0.0183811    0.01871595   1.973823E-4    0.01847481  -0.007730627    0.01820071          35           0          15           0   0.003493878       17.1894      14.96823       1003.18      2.504782      3952.411      19.42967      19.47202      12.10261      12.10148    0.00732347      9.147378           24.   0.003082786     0.0032042   0.002539364   0.002536743
          40.      2.484879    0.03175548     0.8312677     0.1957539     0.6473365    0.02295841     -61.92604      1.696621       352.531      1.156823       332.066     0.7625751   -0.02280337    0.01260211     0.5526426      2.514867      20.10843    0.01396372    0.01378807       5283.85      9538.452      11.78932        11.148        1775        5025   -0.09434308    0.06007452   -0.04181068    0.03603029   -0.06039071    0.04315688    0.01036965    0.02693312          38           0         100           2    0.08868791       18.0327      17.81564      1194.016      2.375763      5233.202      19.48068      19.52943      11.78626      11.79671    0.00731426      12.95463           30.   0.003221008   0.003367788   0.002678887   0.002704649
          48.      2.503784    0.03214277     0.7946543     0.2007315     0.7257888    0.01180977     -61.92604     0.8508016       352.531     0.9127317       332.066     0.5636486   -0.03227194   0.009272484     0.2873234      2.632148       20.1002    0.01402878    0.01384951      5842.387       11539.2      11.68022      10.94125        1991        7213   -0.05976684    0.02737824   -0.01531837    0.01962385   -0.03830062    0.02262107   -0.00989058    0.01865188          39           0          15           0   0.001292588      15.67203      18.85147      1263.437        2.3912       5767.89      19.47245       19.5224      11.67716      11.69109   0.007311597      14.52403           36.   0.003194188   0.003343465   0.002714221   0.002749081
          56.      2.090278    0.03005491     0.8841843     0.1993617     0.6919932    0.01023266     -62.07433     0.7927732       352.531     0.8190866       332.066     0.5331034   -0.04290579   0.007299189     0.1701213      2.735565      20.29618     0.0157249    0.01549951      8246.429      13339.12      11.30603      10.78387        3037        9845    0.04579287    0.01744252   -0.04736113    0.01590203   -0.02694399    0.01448025    0.02859803    0.01366192          44           0          15           0   0.002344648       19.6699      23.30931      1562.205      1.978823      8053.154      19.66843      19.72792      11.30297      11.32872   0.007302832      22.12394           42.   0.003812546   0.004026192   0.002922804   0.002992711
          64.      1.821475    0.03231192     0.9862279     0.2215194     0.7021068   0.009578099     -60.66344     0.7586731       352.531     0.8928375       332.066     0.6037807   -0.04118422   0.006513569     0.1581569      2.828427      20.44563    0.01943321    0.01909149      9809.548      14879.43      11.11757      10.66523        3835       12792    0.05131795     0.0189164  -0.007294398    0.01484394   -0.02968792     0.0162387    0.01931684    0.01469983          47           0          15           0   3.889647E-4      19.82125       26.1982       1755.82      1.716581      9529.613      19.81788      19.88228      11.11451      11.14595   0.007298741      27.92194           48.   0.004367786    0.00463363   0.003098321   0.003189103
          72.      1.553496    0.03460754      1.103388     0.2422528     0.7106927   0.007625896     -59.44032       0.60513       352.531     0.8110328       332.066     0.5644802   -0.04449619   0.005471388     0.1229631      2.912951      20.61842    0.02446092     0.0239214       11306.4      16131.68      10.96338      10.57749        4713       16076      0.027844    0.01515357   0.008412644    0.01290474  -0.005357071    0.01415876    0.00374642    0.01325848          49           0          15           0   0.002173521      20.74527      29.04514      1946.624      1.457913      10937.81      19.99067      20.05961      10.96032      10.99631   0.007295504      34.30119           54.   0.005114336   0.005448614   0.003300303   0.003411302
          80.      1.179797    0.02560299     0.8714059     0.1846258      0.707723   0.005769645     -59.38274     0.4632243       352.531     0.6716449       332.066     0.4735152   -0.03191228   0.003744574     0.1173396      2.990698      20.91718    0.02382061    0.02331021      12877.93      17183.24      10.82208      10.50893        5871       19875  -0.003690711    0.01154241  -0.001222968    0.01011884   0.005558187    0.01095619   0.009123501    0.01042304          52           0          15           0   0.001112133      22.27698      32.43759      2173.988      1.100034      12407.67      20.28942      20.36543      10.81902      10.85941   0.007292388      42.71482           60.   0.006724686   0.007211285   0.003606425   0.003742913
