Galaxy,D_Mpc,R_kpc,Vobs_kms,e_Vobs_kms,Vgas_kms,Vdisk_ML1_kms,Vbul_ML1_kms,SBdisk_Lsolpc2,SBbul_Lsolpc2
NGC6503,6.26,0.76,77.0,10.0,4.04,70.72,0.0,834.73,0.0
NGC6503,6.26,1.52,100.0,5.0,7.62,123.17,0.0,563.29,0.0
NGC6503,6.26,2.28,110.0,2.0,9.72,142.64,0.0,225.6,0.0
NGC6503,6.26,3.04,118.0,2.0,12.42,134.42,0.0,66.48,0.0
NGC6503,6.26,3.79,121.0,2.0,13.35,121.97,0.0,28.63,0.0
NGC6503,6.26,4.55,121.0,2.0,14.78,111.53,0.0,14.64,0.0
NGC6503,6.26,5.31,117.0,2.0,17.55,103.23,0.0,8.92,0.0
NGC6503,6.26,6.07,116.0,2.0,19.2,96.65,0.0,6.87,0.0
NGC6503,6.26,6.83,116.0,2.0,20.33,91.96,0.0,5.31,0.0
NGC6503,6.26,7.59,116.0,2.0,21.66,87.62,0.0,2.98,0.0
NGC6503,6.26,8.35,115.0,1.0,22.79,83.25,0.0,1.95,0.0
NGC6503,6.26,9.11,115.0,1.0,23.92,79.58,0.0,1.74,0.0
NGC6503,6.26,9.86,116.0,1.0,24.84,76.81,0.0,1.53,0.0
NGC6503,6.26,10.64,117.0,1.0,25.46,74.18,0.0,0.83,0.0
NGC6503,6.26,11.38,117.0,1.0,26.38,71.5,0.0,0.58,0.0
NGC6503,6.26,12.12,118.0,1.0,27.2,69.18,0.0,0.42,0.0
NGC6503,6.26,12.86,117.0,1.0,28.13,67.04,0.0,0.3,0.0
NGC6503,6.26,13.7,116.0,1.0,28.74,64.84,0.0,0.2,0.0
NGC6503,6.26,14.44,115.0,1.0,28.64,63.05,0.0,0.14,0.0
NGC6503,6.26,15.18,117.0,1.0,28.33,61.39,0.0,0.1,0.0
NGC6503,6.26,15.91,116.0,1.0,28.13,59.88,0.0,0.07,0.0
NGC6503,6.26,16.65,115.0,2.0,28.33,58.45,0.0,0.05,0.0
NGC6503,6.26,17.49,115.0,2.0,28.23,56.93,0.0,0.03,0.0
NGC6503,6.26,18.23,115.0,2.0,27.82,55.71,0.0,0.02,0.0
NGC6503,6.26,18.97,114.0,2.0,27.2,54.55,0.0,0.02,0.0
NGC6503,6.26,19.71,115.0,2.0,26.9,53.46,0.0,0.01,0.0
NGC6503,6.26,20.45,114.0,2.0,26.69,52.44,0.0,0.01,0.0
NGC6503,6.26,21.29,116.0,2.0,26.49,51.35,0.0,0.01,0.0
NGC6503,6.26,22.03,115.0,3.0,26.18,50.44,0.0,0.0,0.0
NGC6503,6.26,22.76,118.0,4.0,25.87,49.61,0.0,0.0,0.0
NGC6503,6.26,23.5,115.0,10.0,25.46,48.79,0.0,0.0,0.0
