R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vstars_kms,Vgeom_kms,Vcompact_kms,Vmodel_kms,residual_kms
0.76,77.0,10.0,4.04,20.443934383769548,0.0,77.61731859187746,80.36618815447751,-3.3661881544775127
1.52,100.0,5.0,7.62,35.606326329876914,68.88549388699099,63.637714068482204,100.60240948718005,-0.6024094871800543
2.28,110.0,2.0,9.72,41.234768106630206,93.65978508919311,38.37758335971146,109.72592559779575,0.27407440220424917
3.04,118.0,2.0,12.42,38.85850763385609,106.02701840113949,17.625677430067544,114.96361664211342,3.036383357886578
3.79,121.0,2.0,13.35,35.2594269907858,110.94815038212653,8.333813464258318,117.47507910953102,3.5249208904689766
4.55,121.0,2.0,14.78,32.241402740693125,112.54557745076806,2.2094741325198686,118.02264710790332,2.9773528920966754
5.31,117.0,2.0,17.55,29.842015645312934,112.91284329730898,0.0,118.10105240537764,-1.1010524053776436
6.07,116.0,2.0,19.2,27.939850935963335,112.86278870761527,0.48565232939192665,117.84532321381576,-1.8453232138157603
6.83,116.0,2.0,20.33,26.584052685682234,112.61486972380949,1.65382152553575,117.4941052382801,-1.494105238280099
7.59,116.0,2.0,21.66,25.329433409302712,112.32362297785527,0.0,117.16369777242299,-1.1636977724229922
8.35,115.0,1.0,22.79,24.06614164944591,112.03784629855335,0.0,116.83767490458486,-1.8376749045848584
9.11,115.0,1.0,23.92,23.00520783739226,111.78042320550364,0.9076791772740462,116.60657306143581,-1.6065730614358102
9.86,116.0,1.0,24.84,22.204448529656943,111.58597130447224,1.4852965145818569,116.46329135055782,-0.46329135055782444
10.64,117.0,1.0,25.46,21.44416081148226,111.42434498587554,0.14431458058468571,116.29045152177494,0.7095484782250594
11.38,117.0,1.0,26.38,20.66941895417877,111.31189219439358,0.1161453902993706,116.2474950850613,0.7525049149386973
12.12,118.0,1.0,27.2,19.998746898602622,111.26002432477891,0.09317856751880371,116.26947824992683,1.7305217500731658
12.86,117.0,1.0,28.13,19.38010974389014,111.27512348900987,0.07388615717650324,116.40036134112232,0.5996386588776801
13.7,116.0,1.0,28.74,18.7441276222231,111.34602769387686,0.056029022120390015,116.51296469824763,-0.5129646982476288
14.44,115.0,1.0,28.64,18.226669441412188,111.3837345793675,0.04327507720415412,116.44225728018932,-1.4422572801893239
15.18,117.0,1.0,28.33,17.74679202233615,111.34720459728982,0.03263780290763149,116.25720865366135,0.7427913463386489
15.91,116.0,1.0,28.13,17.310277020646502,111.2461050435714,0.02391285383105656,116.04584891206329,-0.04584891206329189
16.65,115.0,2.0,28.33,16.896888641562924,111.12084316155656,0.01715120234934678,115.91348422364143,-0.9134842236414329
17.49,115.0,2.0,28.23,16.457482812047516,110.96432877641185,0.00985621002096958,115.67568456012413,-0.6756845601241253
18.23,115.0,2.0,27.82,16.104801817304885,110.78414112677528,0.004679033134184115,115.35355646301193,-0.3535564630119268
18.97,114.0,2.0,27.2,15.769465789516811,110.54236750827708,0.0,114.92663340419283,-0.9266334041928275
19.71,115.0,2.0,26.9,15.454365556509051,110.25323505795942,0.0,114.5348124174474,0.46518758255260195
20.45,114.0,2.0,26.69,15.159501118281606,109.94322935219031,0.0,114.14762483093331,-0.14762483093331014
21.29,116.0,2.0,26.49,14.844400885273846,109.57732019720615,0.0,113.70692784190311,2.2930721580968907
22.03,115.0,3.0,26.18,14.581335553129751,109.24057974103795,0.0,113.27626410096263,1.723735899037365
22.76,118.0,4.0,25.87,14.341396843591731,108.8914921508242,0.0,112.83744780106645,5.162552198933554
23.5,115.0,10.0,25.46,14.104348961879474,108.5189356327736,0.0,112.35436640606599,2.645633593934008
