R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vstars_kms,Vgeom_kms,Vcompact_kms,Vmodel_kms,residual_kms
0.76,77.0,10.0,4.04,20.270432054930914,0.0,66.91197733135849,70.0315980546339,6.968401945366097
1.52,100.0,5.0,7.62,35.30414474272965,68.72948854937822,65.24050267139674,101.41258709396601,-1.4125870939660103
2.28,110.0,2.0,9.72,40.88481940491155,93.45107097457982,43.54147791489179,111.33287844604216,-1.3328784460421588
3.04,118.0,2.0,12.42,38.52872563382089,105.80032250919048,21.488497209094884,115.30040266330488,2.6995973366951205
3.79,121.0,2.0,13.35,34.960189447679916,110.72382789962555,10.736071831222123,117.36893391919656,3.6310660808034356
4.55,121.0,2.0,14.78,31.967778380747237,112.33225191411132,2.979432845909589,117.76161978666572,3.238380213334281
5.31,117.0,2.0,17.55,29.588754256653257,112.71736843706941,0.0,117.85033740231152,-0.8503374023115242
6.07,116.0,2.0,19.2,27.702732722130555,112.68949275939964,0.7038246605484123,117.6243960570994,-1.6243960570994034
6.83,116.0,2.0,20.33,26.35844077731118,112.46444037751483,2.4685142965397637,117.31334200537819,-1.313342005378189
7.59,116.0,2.0,21.66,25.114469126881318,112.19606333971112,0.0,116.9950801890983,-0.995080189098303
8.35,115.0,1.0,22.79,23.861898594075203,111.93325569018364,0.0,116.69544992808399,-1.6954499280839883
9.11,115.0,1.0,23.92,22.809968650048106,111.69868637715292,1.4559745960843014,116.49539677696363,-1.4953967769636307
9.86,116.0,1.0,24.84,22.01600517730831,111.5263820814331,2.430100424528462,116.38629374722078,-0.38629374722077614
10.64,117.0,1.0,25.46,21.262169822324314,111.38678815440545,0.2406508772495505,116.22119408159803,0.7788059184019716
11.38,117.0,1.0,26.38,20.494002996713238,111.29451106417629,0.19696060694466472,116.19989477329159,0.8001052267084106
12.12,118.0,1.0,27.2,19.829022759617093,111.26245764473666,0.16052161301463352,116.24280791488339,1.757192085116614
12.86,117.0,1.0,28.13,19.215635816778402,111.29704631357798,0.1291859110322817,116.39410108321378,0.6058989167862165
13.7,116.0,1.0,28.74,18.585051109187223,111.38938678593207,0.09952564829108608,116.5289539926955,-0.5289539926955058
14.44,115.0,1.0,28.64,18.071984460738037,111.44460705736783,0.0778881664442868,116.47640418164852,-1.476404181648519
15.18,117.0,1.0,28.33,17.596179635919242,111.42381704235916,0.05948133249902268,116.30771676934245,0.6922832306575515
15.91,116.0,1.0,28.13,17.16336922298166,111.33668122219302,0.04409514598474345,116.11088094161771,-0.11088094161770812
16.65,115.0,2.0,28.33,16.753489163047398,111.22454168777942,0.03198821164913289,115.99210316240763,-0.9921031624076306
17.49,115.0,2.0,28.23,16.317812455984402,111.08188941728314,0.01861012250971637,115.76869354967627,-0.7686935496762715
18.23,115.0,2.0,27.82,15.96812457268384,110.91274571057747,0.008926775615274798,115.45809041862461,-0.4580904186246073
18.97,114.0,2.0,27.2,15.635634454135765,110.6807475960885,0.0,115.04147492627347,-1.041474926273466
19.71,115.0,2.0,26.9,15.323208394465592,110.40033304030877,0.0,114.65881671686357,0.34118328313643076
20.45,114.0,2.0,26.69,15.030846393673318,110.09831255350213,0.0,114.28001080870989,-0.28001080870988915
21.29,116.0,2.0,26.49,14.718420334003145,109.74074524159086,0.0,113.84807052957966,2.1519294704203418
22.03,115.0,3.0,26.18,14.45758756859043,109.41073597083842,0.0,113.42452725924838,1.5754727407516214
22.76,118.0,4.0,25.87,14.219685156181033,109.06771422143069,0.0,112.99213526360403,5.007864736395973
23.5,115.0,10.0,25.46,13.984649037897048,108.70073797531016,0.0,112.51503208500716,2.4849679149928363
