R_kpc,Vobs_kms,errV_kms,Vgas_kms,Vstars_kms,Vgeom_kms,Vcompact_kms,Vmodel_kms,residual_kms,variant
0.76,77.0,10.0,4.04,21.321285083957985,0.0,0.0,21.70066352974971,55.29933647025029,geom_only__none
1.52,100.0,5.0,7.62,37.134370528720375,69.5973058371911,0.0,79.25156688898845,20.74843311101155,geom_only__none
2.28,110.0,2.0,9.72,43.004356679521585,94.6113965130125,0.0,104.37992835580022,5.620071644199783,geom_only__none
3.04,118.0,2.0,12.42,40.526119075023075,107.05860259521347,0.0,115.14411455616305,2.8558854438369536,geom_only__none
3.79,121.0,2.0,13.35,36.77258401711475,111.96607264307119,0.0,118.60373880451348,2.3962611954865167,geom_only__none
4.55,121.0,2.0,14.78,33.62504136614584,113.51021228577918,0.0,119.30490392283828,1.6950960771617218,geom_only__none
5.31,117.0,2.0,17.55,31.122684660873624,113.79197697924862,0.0,119.26960226875089,-2.269602268750887,geom_only__none
6.07,116.0,2.0,19.2,29.13888862223613,113.63582804700991,0.0,118.87310985276984,-2.8731098527698435,geom_only__none
6.83,116.0,2.0,20.33,27.72490633937749,113.27850022280793,0.0,118.38073299425018,-2.380732994250181,geom_only__none
7.59,116.0,2.0,21.66,26.416445122403825,112.87772746707799,0.0,117.93373364324944,-1.9337336432494396,geom_only__none
8.35,115.0,1.0,22.79,25.098939242640018,112.48181942671962,0.0,117.4797878473182,-2.4797878473182067,geom_only__none
9.11,115.0,1.0,23.92,23.992475494646158,112.11467648498648,0.0,117.1217570039588,-2.1217570039588054,geom_only__none
9.86,116.0,1.0,24.84,23.157351630356512,111.81374364428537,0.0,116.85718549700717,-0.8571854970071655,geom_only__none
10.64,117.0,1.0,25.46,22.36443619242086,111.5460525714064,0.0,116.58002166095109,0.41997833904891024,geom_only__none
11.38,117.0,1.0,26.38,21.55644631650164,111.3363476377086,0.0,116.43181301989983,0.5681869801001653,geom_only__none
12.12,118.0,1.0,27.2,20.856992394064104,111.18883779037141,0.0,116.35210260626823,1.6478973937317676,geom_only__none
12.86,117.0,1.0,28.13,20.211806448367412,111.10973114390063,0.0,116.38378914082557,0.61621085917443,geom_only__none
13.7,116.0,1.0,28.74,19.548531177090435,111.07687929247062,0.0,116.38816857625936,-0.3881685762593605,geom_only__none
14.44,115.0,1.0,28.64,19.00886629727872,111.02974185192927,0.0,116.2290418682606,-1.2290418682605946,geom_only__none
15.18,117.0,1.0,28.33,18.508394956224272,110.91692952572114,0.0,115.96428260145181,1.0357173985481865,geom_only__none
15.91,116.0,1.0,28.13,18.053146929120533,110.7481388676641,0.0,115.68216490322017,0.3178350967798309,geom_only__none
16.65,115.0,2.0,28.33,17.6220180027905,110.55923432311262,0.0,115.48362963036621,-0.48362963036620954,geom_only__none
17.49,115.0,2.0,28.23,17.163755088090046,110.33545304850087,0.0,115.17569009188473,-0.17569009188473217,geom_only__none
18.23,115.0,2.0,27.82,16.795938801290998,110.10166616417796,0.0,114.79735559822274,0.20264440177726328,geom_only__none
